CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
U29299PN1998PTC013028,Advik Hi-Tech Private Limited,0,0.02,0,0.12,0,0.41,62.7,0.49,67.45,1.36
U29299PN1998PTC014540,EMUGE - FRANKEN INDIA PRIVATE LIMITED,0,0,0,0.05,1.32,0.03,4.28,0.08,4.18,0.08
U29299PN1999PTC013389,Siara Engineering Private Limited,5.98,0.12,6.49,0.13,6.44,0.13,0,0,8.83,0.21
U29299PN1999PTC018053,Eaton Industries Private Limited,42.9,0.47,0,0,0,0,0,0,NA,NA
U29299PN2000PTC014525,Trans Engineers India Private Limited,NA,NA,12.97,0.26,10.46,0.1,18.65,0,22.53,0.18
U29299PN2001PTC016233,Vulkan Technologies Private Limited,25.83,0.02,28.5,0.04,28.77,0.58,28.74,0.29,32.18,0.45
U29299PN2002PLC017050,Fabtech Projects And Engineers Limited,28.38,0.6,21.53,0,17.57,0.35,17.64,0.35,NA,NA
U29299PN2002PTC017274,Hirlekar Precision Instruments Private Limited,229.63,4.62,8.31,0,13.29,0.21,10.89,0.22,6.58,0.15
U29299PN2002PTC154615,LMT (INDIA) PRIVATE LIMITED,NA,NA,0,0.07,0,0.04,3.72,0.01,6.35,0
U29299PN2003PTC017672,Raj Process Equipments And Systems Private Limited,NA,NA,0,0.08,0,0,0,0,NA,NA
U29299PN2003PTC018033,STAR ENGINEERS (INDIA) PRIVATE LIMITED,NA,NA,3.68,0,5.93,0.07,9.39,0.16,9.39,0.24
U29299PN2004PTC019249,VICTOR REINZ INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,7.83,0.02
U29299PN2004PTC019632,DIA ALUMINIUM INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,5.16,0,NA,NA
U29299PN2004PTC019904,Honeywell Turbo Technologies (India) Private Limited,114,2.28,135.8,0,129.58,2.59,121.74,2.43,143.23,0.66
U29299PN2004PTC021707,Maass Flange India Private Limited,0,0.18,8.76,0.18,4.66,0.09,2.91,0,NA,NA
U29299PN2005PTC020272,Eaton Technologies Private Limited,0,0.76,0,11.1,691.2,33.4,725.15,6.34,687.87,6.59
U29299PN2005PTC020383,Pacoline Industries Private Limited,0,0,3.46,0,4.09,0.06,4.8,0.01,6.19,0.1
U29299PN2005PTC020541,Ats Conveyors India Private Limited,NA,NA,4.06,0,8.86,0.14,9.2,0.17,7.54,0.15
U29299PN2005PTC020672,Eminence Equipments Private Limited,NA,NA,10.18,0.13,10.66,0.05,9.66,0,9,0.14
U29299PN2005PTC020745,Hnb Engineers Private Limited,11,0.02,0,0,0,0,0,0,NA,NA
U29299PN2005PTC021027,Emitec Emission Control Technologies India Private Limited,46.15,0.92,0,0,0,0.96,55.25,1.11,63,1.26
U29299PN2005PTC021183,GL&V INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.96,0.1
U29299PN2005PTC021374,WOHR PARKING SYSTEMS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,6.24,0.06
U29299PN2005PTC021445,DELVAL FLOW CONTROLS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,6.38,0.13
U29299PN2005PTC021523,TRANTER INDIA PRIVATE LIMITED,0,0,42.79,0.09658,9.24,0.18,9.72,0.19,NA,NA
U29299PN2005PTC021636,CU-BUILT ENGINEERS PRIVATE LIMITED,0,0,8.01,0,8.51,0.17,9.51,0,8.98,0
U29299PN2005PTC021703,MEGTEC SYSTEMS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.53,0.07
U29299PN2006PTC021976,Ognibene India Private Limited,NA,NA,14.16,0.05,6.31,0.13,18.98,0.38,16.06,0
U29299PN2006PTC021988,BEHR-HELLA THERMOCONTROL INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.61,0.07
U29299PN2006PTC128335,Q-SHIELD DIESEL & GAS TECHNOLOGIESPRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.6,0.11
U29299PN2006PTC128359,RENATA PRECISION COMPONENTS PRIVATELIMITED,NA,NA,NA,NA,NA,NA,4.78,0,5.77,0
U29299PN2006PTC128490,Helical Auto Technology India Private Limited,NA,NA,3.13,0.03,3.13,0.03,0,0,7.55,0.03
U29299PN2006PTC128520,AURA LASERFAB PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.61,0.05
U29299PN2007FTC129945,SCIVIC ENGINEERING INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.53,0.11
U29299PN2007PLC129627,SINTERCOM INDIA LIMITED,NA,NA,NA,NA,NA,NA,0.57,0,NA,NA
U29299PN2007PTC129519,SWAROOP TECHNO COMPONENTS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.82,0
U29299PN2008FTC131662,Yamazaki Mazak India Private Limited,10.06,0.2,0,0.17,10.2,0.2,9.3,0.19,12.27,0
U29299PN2008FTC131856,FIBRO INDIA PRECISION PRODUCTS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.74,0.1
U29299PN2008FTC132475,NORMA GROUP PRODUCTS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.76,0
U29299PN2008PTC131255,SCHLUMBERGER INDIA TECHNOLOGY CENTRE PRIVATE LIMITED,NA,NA,3.756331233,0.07515,8.13,0.16,13.95,0.31,25.34,0.42
U29299PN2008PTC132542,Ekk Eagle Products India Private Limited,NA,NA,3.6,0.07,3.6,0.07,0,0.07,3.33,0.07
U29299PN2009PTC133523,CONDUCTIX-WAMPFLER INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,6.27,0.02
U29299PN2012PTC142108,TAS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.95,0,3.36,0.01
U29299PY2000PTC001533,Tweezerman India Private Limited,28.76,0,28.76,0,35,0.56,39.34,1.95,42.07,0
U29299RJ1971PLC001379,Wolkem India Limited,0,0.18,9.31,0.19,12.21,0.24,12.75,0.27,10.24,0.08
U29299RJ1978PLC001827,Associated Engineers And Industrials Limited,NA,NA,3.42,0,2.51,0.03,0,0,NA,NA
U29299RJ1995PTC010898,Mehru Electrical And Mechanical Engineers Private Limited,9.54,0.19,9.49,0.19,7.11,0.14,7.39,0.48,6.92,0.28
U29299TG2010PTC069171,Maalab Scientific Equipment Private Limited,3.39,0,3.39,0,6.13,0,7.7,0,NA,NA
U29299TN2006PTC060533,DOOWON AUTOMOTIVE SYSTEMS INDIA PRIVATE LIMITED,NA,NA,NA,NA,7.89,0.16,15.75,0,24.38,0
U29299TN2008PTC065920,SI AIR SPRINGS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.76,0.08,0,0.14
U29299WB1960PLC024693,Special Engg. Services Ltd,NA,NA,3.81,0.08,3.13,0.06,0,0,NA,NA
U29300HP2002PTC025355,Elin Appliances Private Limited,NA,NA,NA,NA,4.52,0.09,5.04,0.19,6.31,0.11
U29300KA2012PTC107614,MITSUBISHI ELEVATOR INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,17.82,0,0,0.38
U29300MH1968PTC014071,ALMONARD PRIVATE LIMITED,0,0,0,0,0,0,0,0,34.47,0.06
U29300MH1985PLC037465,JSK MARKETING LIMITED,NA,NA,NA,NA,7.45,0.15,17.2,0,NA,NA
U29300PN2009FTC133863,Litens Automotive (India) Private Limited,1.25,0,1.25,0,3.49,0,0,0,NA,NA
U29300PN2009PTC133761,MSKH SEATING SYSTEMS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.41,0,5.68,0
U29300PN2010PTC136095,ELICA PB INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.67,0,11.41,0.23
U29300TG1993PTC016474,Vem Technologies Private Limited,13.5,0.27,15.02,3,19.35,0.39,22.65,0.03,24.23,0.27
U29300TN2012PTC087354,Mitsubishi Elevator India Private Limited,0.1,0.27,20.89,0.68,33.88,1.05,0,0,NA,NA
U29302PN1981PTC024033,Poona Shims Pvt Ltd,9.33,0.13,10.68,0.1,12.05,0.12,14.34,0.3,17.99,0.46
U29302PN2002PTC016852,ECLIPSE COMBUSTION PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0
U29303PN1996PTC096395,KALYANI MAXION WHEELS PRIVATE LIMITED,0,0,0,0.178,0,0.22,17.08,0.05,NA,NA
U29304TG1995PTC074533,Pfeiffer Vacuum (India) Private Limited,4.64,0,4.64,0,4.31,0.06,0,0,4.54,0
U29304WB1982PLC034725,Elin Electronics Ltd.,10.55,0.21,12.94,0.11,16.91,0.34,17.64,0.58,19.24,0.44
U29305MH1971PTC015118,Powermaster Engineers Private Limited,14.42,0.02,17.22,0,18.7,0.06,19.85,0.06,17.97,0.39
U29305MH1996PTC104724,B And R Industrial Automation Private Limited,9.27,0,10.89,0.22,9.53,0.19,10.02,0,NA,NA
U29305PN1997PTC108822,BAGH BAHAR APPLIANCES PRIVATE LIMITED,0,0,6.66,0.13,7.05,0.15,7.29,0.16,NA,NA
U29305TN2006PTC061752,Modine Thermal Systems Private Limited,NA,NA,NA,NA,5.21,0.1,14.41,0.12,22.8,0.2
U29305UP1997PTC021265,VEEKAY CONNECTORS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,6.13,0,7.8,0
U29305UP2004PTC029254,THE WIPE HOTWIRE INDIA THERMALEQUIPMENTS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,5.16,0.03
U29305WB2009PTC132895,GARUDA POWER PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.58,0.02
U29307CT2014PTC001359,ICON SOLAR-EN POWER TECHNOLOGIES PRIVATE  LIMITED,NA,NA,NA,NA,NA,NA,2.27,0,3.95,0.04
U29307GJ2010PTC063233,HARSHA ABAKUS SOLAR PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.46,0
U29307KA2010PTC053077,Pace Renewable Energies Private Limited,NA,NA,4.94,0.1,4.95,0.1,5.44,0.11,4.61,0
U29307MH1995PTC091037,Sudarshan Saur Shakti Private Limited,NA,NA,12.55,0.25,7.24,0.24,3.83,0.08,NA,NA
U29308DL2005PTC141740,Enco Engineers Combine (Plant Ii) Private Limited,2.42,0.56,2.42,0.56,3.18,0,2.68,0,4.85,0.02
U29308GJ1994PTC023531,AJANTA MANUFACTURING PRIVATE LIMITED,NA,NA,8.281592555,0.205,8.59,0.26,0.75,0.34,1.99,1.19
U29308GJ2006PTC049543,Power High Engineers Private Limited,NA,NA,NA,NA,0,0.79,0,0,0,0.1
U29308PY1999PTC001499,Eta General Private Limited,NA,NA,22.84,0.46,22.09,0,0,0,NA,NA
U29308TG2002PTC039975,Integrated Cleanroom Technologies Private Limited,NA,NA,26.94,0.54,27.01,0.54,20.71,0.23,33.87,0.48
U29308TZ2017PTC029321,CHAKRADHARA AEROSPACE AND CARGO PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,10.3,0.21
U29309GJ1987PTC009563,Tlt Engineering India Pvt Ltd,5.89,0,5.47,0.12,0,0,0,0,0,0.05
U29309GJ1988PTC011523,Rowenta Networks Private Limited,31.8,0,31.8,0,33.12,0.1,0,0,64.96,0.03
U29309HP1987PLC007235,Ind Sphinx Precision Ltd,NA,NA,4.95,0,4.95,0,0,0,4.23,0.07
U29309PN1995PTC084413,Cotton King Private Limited,6.4,0,11.23,0.22,13.75,0.27,18.97,0,NA,NA
U29309PN2017PLC171542,EPIROC MINING INDIA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,71.85,0.09
U29309TN1990PTC019420,Ebm-Papst India Private Limited,3.46,0.07,10.32,0.02,11.67,0.23,15.48,0,9.05,0
U29309TN1991PLC020805,SERVION T GLOBAL SOLUTIONS LIMITED,0,0,18.01,0.36,13.53,0.27,0,0,0,0
U29309TN1994PLC028849,GENAU EXTRUSIONS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.04
U29309TN1995PTC033931,PRECIA MOLEN INDIA PRIVATE LIMITED,0,0,6.41,0.13,7.38,0.01,8.8,0.02,NA,NA
U29309TN1996PLC035377,Hyundai Motor India Limited,1469.38,29.39,1550,31,1670,33.4,2115.06,9.13,2701.26,10.91
U29309TN1996PTC035049,R G Bronze Mfg Company Private Limited,3.48,0.03,3.48,0.03,4.73,0.01,5.81,0.01,0,0.01
U29309TN1997PTC038508,Valeo Friction Materials India Private Limited,18.85,0,27.95,0.56,39.36,0.79,51.33,0.42,60.3,0.09
U29309TN1997PTC038729,ILJIN AUTOMOTIVE PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,39.39,0.22,0,1.02
U29309TN1997PTC039348,AUTOTECH INDUSTRIES (INDIA) PRIVATELIMITED,0,0,0,1.26,0,0,0,0,NA,NA
U29309TN1997PTC039462,HSI AUTOMOTIVES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,14.45,0.29,17.7,0
U29309TN1998PTC040102,Grundfos Pumps India Private Limited,7.59,0.26,16.3,0.39,37.2,0.9,45.13,1.06,NA,NA
U29309TN1998PTC040651,PRECISION EQUIPMENTS (CHENNAI) PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.74,0
U29309TN1998PTC040717,Bonfiglioli Transmissions Private Limited,7.5,0.15,31.14,0.62,55.5,1.69,85.44,1.55,NA,NA
U29309TN1998PTC040909,Gh Induction India Private Limited,NA,NA,4.03,0,4.99,0.31,6.22,0.12,8.75,0.18
U29309WB1996PTC082168,Western Consolidated Private Limited,6.33,0.12,4.94,0.1,6.5,0.13,8.06,0.16,8.8,0.18
U29329MH1989PTC285729,M C DAVAR HOLDINGS PRIVATE LIMITED,NA,NA,20.79,0.52,20.79,0.52,20.69,0.52,21.37,0
U29920MH1979PTC021202,PRABHA ENGINEERING PRIVATE LIMITED,0,0,5.24,0.1,0,0,7.91,0.15,9.1,0.07
U29999DL1998PTC293112,Sms Concast Engineering (India) Private Limited,6.81,0,6.81,0,0,0,0,0,NA,NA
U30000DL1998PTC094562,RISO INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.23,0.02
U30000MH1986PTC040036,JAY INSTRUMENTS AND SYSTEMS PRIVATELIMITED,NA,NA,NA,NA,4.65,0.24,5.61,0.12,NA,NA
U30000MH1995PLC091944,Trimax It Infrastructure & Services Limited,NA,NA,132.39,2.65,0,0,0,0,NA,NA
U30000MH1996PTC096148,Insight Business Machines Private Limited,NA,NA,NA,NA,3.54,0.13,4.66,0.11,NA,NA
U30000MH1996PTC099112,Infinx Services Private Limited,2.43,0.05,2.43,0.05,0,0,0,0,10.33,0.2
U30000MH1996PTC104553,Best It World (India) Private Limited,10.3,0.04,11.35,0.23,NA,NA,NA,NA,NA,NA
U30000MH1997PTC105433,Connectwell Industries Private Limited,8.58,0.02,8.58,0.17,10.14,0.2,10.49,0.14,11.66,0.21
U30000MH1998PTC117170,MANNARA TECHNOLOGIES PRIVATE LIMITED,0,0,6.37,0.13,6.37,0.13,4.69,0.1,3.03,0.06
U30001DL1997PTC084853,Nipman Fastener Industries Private Limited,5.61,0.11,4.13,0.08,3.79,0.1,3.79,0.08,3.32,0.11
U30005KA2002PTC030230,Maxim India Integrated Circuit Designprivate Limited,3.31,0,3.31,0,0,0,0,0,5.87,0.21
U30005MH2004PLC146621,SAL TECHNOLOGIES & SOLUTIONS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.23,0
U30005TG2009FTC063874,Microsemi India Private Limited,6.23,0.06,6.23,0.06,7.61,0,0,0,10.71,0.1
U30005UP1995PTC111327,SANSKAR INFO TV PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,8.29,0
U30006DL1993PTC054092,CCS COMPUTERS PRIVATE LIMITED,NA,NA,4.127759967,0,4.61,0.09,4.87,0,5.09,0.18
U30006KA1998PTC024012,Misys Software Solutions (India) Private  Limited,25.57,0.51,24.4,0.49,24.08,0.48,28.96,0.35,34.76,0.25
U30006KA2005PTC036014,Cadence Ams Design India Private Limited,54.2,0.25,0,0,0,0,0,0,NA,NA
U30006KL2004PTC017576,Qburst Technologies Private Limited,3.57,0.06,7.13,0.14,10.75,0.22,10.02,0.18,7.9,0.23
U30006MH2009PTC192706,EVOLUTE SYSTEMS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,4.47,0.13,10.33,0
U30006TN1990PLC019611,MEL SYSTEMS AND SERVICES LTD,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.03
U30006TN1993PTC025830,Control Techniques India Private Limited,2.94,0,NA,NA,NA,NA,NA,NA,NA,NA
U30006TN1995PTC032883,Temenos India Private Limited,NA,NA,42.49,0.85,41.88,0,38.51,0.16,51.99,0
U30006TN1995PTC053395,Rr Donnelley India Outsource Private Limited,67.36,0,42.06,0.84,70.64,1.41,72.8,0.4,79.37,0.85
U30006TN1997PTC038037,ZEBRONICS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,6.97,0.1
U30006TN1997PTC038525,Menaka Mills Private Limited,5.59,0,16.11,0,0,0.16,7.77,0,6.68,0
U30006WB1990PTC077173,Amer-Sil Ketex Private Limited,6.21,0,6.21,0,5.93,0.03,6.8,0.07,NA,NA
U30007DL1994PTC183274,Fidelio India Private Limited,25.91,0,NA,NA,0,0,0,0,NA,NA
U30007DL1998PTC093644,R S Technologies Private Limited,6.04,0.12,6.04,0.12,6.89,0.14,8.04,0.16,NA,NA
U30007DL2002PTC117630,SRIJAN TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,3.84,0.04,5.03,0.3,7.35,0
U30007DL2006PTC156217,KRONOS SOLUTIONS INDIA PRIVATE LIMITED,0,0,5.04,0.24,15.63,0.31,20.13,0,24.57,1.05
U30007GJ2002PLC040659,Sahajanand Laser Technology Limited,0,0.19,9.44,0.19,0,0.01,0,0,NA,NA
U30007HR1998PTC079153,R S TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,9.4,0.19
U30007HR2002PTC034983,Rbs India Development Centre Private Limited,198.93,3.98,0,0,0,0,0,0,NA,NA
U30007KA1986PTC080807,Cadence Design Systems (India) Private Limited,65.84,0.5,72.65,1.45,0,1.75,0,2.09,138.2,2.81
U30007KA1994PTC016342,MEDIA FUSIONS (INDIA) PRIVATE LIMITED,0,0,0,0,0,0,1.63,0.01,NA,NA
U30007KA1996PTC019630,Apple India Private Limited,272.35,5.45,240.52,9.13,335.13,6.7,478.08,9.57,806.27,19.95
U30007KA1996PTC020289,Value Point Systems Private Limited,NA,NA,4.29,0,5.29,0,3.89,0.1,7.09,0.24
U30007KA1998PTC024374,Nova Techset Private Limited,4.99,0,0,117,0,0.22,0,0,9.01,0
U30007KA2002PTC030903,Toshiba Software (India) Private Limited,14.39,0.29,20.5,0.41,27.43,0.55,49.82,1,49.26,0.99
U30007KA2004PTC034137,R-LOGIC TECHNOLOGY SERVICES (INDIA)PRIVATE LIMITED,0,0,9.34,0.19,NA,NA,17.17,0,14.83,0
U30007KA2004PTC034991,Rambus Chip Technologies (India) Private Limited,6.07,0.11,6.07,0.11,8.19,0.16,6.52,0.2,12.66,0.26
U30007MH1977PLC019861,Advance Power Display System Limited,11.6,0,0,0,10.37,0.21,0,0,NA,NA
U30007MH1980PLC022235,Cms Computers Limited,3.19,0.06,43.43,0.44,45.71,0.71,18.55,0.23,NA,NA
U30007MH1989PTC051039,Rashi Peripherals Private Limited,16.78,0.34,19.59,0.39,22.23,0.44,27.46,0.14,37.59,0.26
U30007MH1991PLC064368,Bristlecone India Limited,10.24,0.21,15.51,0.31,25.27,1.92,27.28,0.55,33.1,0.66
U30007MH1993PTC074267,Ptc Software (India) Private Limited,30.97,0.62,0,0.62,35.76,0.72,42.47,0.87,49.4,1
U30007MH1993PTC074939,ASHTECH INFOTECH PRIVATE LIMITED,NA,NA,NA,NA,0,0,0,0,4.8,0
U30007MH1994PLC081637,Msl Driveline Systems Limited,150,3,43.05,0.86,44.36,0.89,41.31,0.62,0,0.71
U30007MH1995PLC092885,MARKSS INFOTECH LIMITED,NA,NA,NA,NA,NA,NA,2.69,0.06,NA,NA
U30007MH1996PTC099664,SMART CHIP PRIVATE LIMITED,0,0,18.67,0.37,0,3.43,0,0.68,NA,NA
U30007MH1997PLC106787,Neoteric Infomatique Limited,0.203,0,0,0,0,0,0,0,NA,NA
U30007MH2002PTC134577,JEEVANDEEP EDUMEDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.62,0.22,9.25,0.2
U30007MH2004PTC148165,SYRMA TECHNOLOGY PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.97,0.1
U30007PB1999PTC022523,RAMTECH SOFTWARE SOLUTIONS PRIVATELIMITED,0,0,27.66,0.61,30.45,0.61,0,0,NA,NA
U30007PN1998PTC113678,Ateq Systems Analytic India Private Limited,5.01,0,5.01,0,4.81,0,4.81,0.1,9.12,0.2
U30007PN2004PTC129818,Syntel International Private Limited,37.47,0.75,63.79,1.28,95.9,1.92,97.75,1.96,88.9,1.78
U30007PN2007PTC130177,Beckhoff Automation Private Limited,2.19,0.03,2.19,0.03,4.62,0.09,0,0,4.82,0.07
U30007TG1999PTC032312,Osi Technologies Private Limited,7.52,0,7.52,0,8.5,0.18,7.75,0.13,6.42,0.04
U30007TN1990PTC020007,SRINAR ELECTRONICS PRIVATE LIMITED,0,0,0,0,0,0,0,0.04,NA,NA
U30007TN1992PTC023458,Martech Peripherals Private Limited,10.22,0,0,0,0,0,0,0,NA,NA
U30007TN1993PTC026288,RIALTO ENTERPRISES PRIVATE LIMITED,NA,NA,3.24,0,6.47,0.13,7.94,0,5.99,0
U30007TN1995PTC030812,Venus Home Appliances Private Limited,NA,NA,3.18,0.02,4.38,0.09,5.71,0.03,7.14,0
U30007TN1999PTC041798,Prodapt Solutions Private Limited,7.79,0.16,14.7,0.29,21.08,0.42,27.35,0.17,35.96,0.66
U30007TN1999PTC043297,Techindia Infoway Private Limited,7.64,0.18,7.64,0.18,11.79,0.02,0,0,13.01,0.3
U30007TN1999PTC043479,AVALON TECHNOLOGIES PRIVATE LIMITED,0,0,16.78,0.34,18.84,0.38,18.35,0,14.42,0
U30007TN2002PTC048391,Sanmina-Sci India Private Limited,52.28,1.05,NA,NA,NA,NA,20.75,0.16,23.89,1.51
U30007TN2006PTC059330,Salcomp Manufacturing India Private Limited,22.54,0.45,38.04,0.76,27.28,0.39,14.17,0.61,NA,NA
U30007TZ1989PTC029822,INTEGRA AUTOMATION PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,8.48,0
U30009GJ1990PTC014549,APPLIED SOFTWARE PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.01,0.1
U30009HR1992PTC056008,Bangalore Integrated System Solutions Private Limited,3.53,0,3.53,0,5.52,0,8.06,0.08,NA,NA
U30009KA2001PTC029692,Veer-O-Metals Private Limited,0,0.18,7.78,0.16,0,0.14,0,0.14,0,0.11
U30009KA2007PTC044448,ELEMENT14 INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,6.93,0.22
U30009MH2006FTC166197,BROTHER INTERNATIONAL (INDIA) PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.76,0.02,7.23,0.06
U30009PN1992PLC176286,NIHILENT ANALYTICS LIMITED,NA,NA,NA,NA,NA,NA,0,0.11,NA,NA
U30009TN1999PTC042497,Srm Technologies Private Limited,3.57,0.07,3.15,0.02,5.64,0.11,0,0.13,0,0.21
U30009UP2000PTC030438,Techbooks International Private Limited,17.58,0,25.51,0.51,23.98,0.48,21.88,0,22.49,0
U30009WB1992PLC056060,Nihilent Analytics Limited,NA,NA,6.15,0.12,7.16,0.14,0,0,NA,NA
U31100CH2007PTC030870,HARTEK POWER PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04
U31100DL1986PTC025963,A P SECURITAS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,4.39,0.1
U31100DL2017PTC327166,MOLAGAVALLI RENEWABLE PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
U31100GJ1995PTC024599,Arya Omnitalk Wireless Solutions Private Limited,7.54,0.15,7.54,0.15,10.25,0.19,0,0.26,0,0.21
U31100KA1994PTC015641,RITTAL INDIA PRIVATE LIMITED,0,0,10.657,0,35.75,0.72,0,0,NA,NA
U31100KA2008PTC045946,VYSHALI ENERGY PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0.04,NA,NA
U31100MH1980PTC022112,BEICO INDUSTRIES PRIVATE LIMITED,NA,NA,NA,NA,0,0,0,0,4.95,0
U31100MH1982PTC028406,Rishabh Instruments Pvt Ltd,13.25,0.26,14.71,0.04,15.43,0.31,15.69,0.09,10.68,0.54
U31100MH1984PLC032825,Powerica Limited,1.78,1.78,80,1.26,85.07,0,0,0,105.67,0.98
U31100PB2007PTC031024,J.R. TRANSFORMERS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,3.83,0.08,3.34,0.07
U31100WB1980PLC032796,CHLORIDE POWER SYSTEMS & SOLUTIONS LIMITED,NA,NA,NA,NA,5.59,0.2,3.93,0.08,NA,NA
U31101DL1987PLC026630,Norisys Technology Limited,4.67,0,4.67,0,8.61,0.17,12.47,0.25,17.21,0
U31101DL1992PTC282540,Nlmk India Service Center Private Limited,NA,NA,8.07,0.16,15.9,0.47,0,0.02,18,0.55
U31101DL2000PTC258626,Doosan Power Systems India Private Limited,0,0,71.13,0.85,11.73,0.28,NA,NA,-135.1,0.15
U31101DL2001PTC188324,Steag Energy Services (India) Private Limited,28.44,0.05,34.92,1.22,45.78,2.03,50.8,0,41.36,0.07
U31101GJ1995PLC065146,Bhander Power Limited,123.96,0,65.93,0,18.51,0,NA,NA,NA,NA
U31101HR2007PTC036775,ISHIDA INDIA PRIVATE LIMITED,0,0,0,0,0,0,1.21,0,4.84,0
U31101KA1975PLC002954,Karnataka Vidyuth Karkhane Limited,NA,NA,8,0.15,9.11,0.16,9,0.25,NA,NA
U31101KA1993PTC026157,Lm Wind Power Blades (India) Private Limited,49.83,1,82.06,0,88.86,1.78,79.85,1.7,0,1.5
U31101KA1996PTC019747,ESSAE DIGITRONICS PRIVATE LIMITED,0,0,0,0.07,0,0.02,0,0,0,0.15
U31101KA2000PTC026953,Nidec Industrial Automation India Private Limited,36.69,0.73,37.8,0.76,37.28,0.75,0,0.3,0,0.06
U31101MH1994PLC243148,Rosa Power Supply Company Limited,615.76,11.28,949.33,18.37,860.61,16.87,792.63,0.16,769.14,4.56
U31101PN1991PTC061456,Cummins Generator Technologies India Private Limited,52.57,0.52,52.57,1.05,44.14,0.26,56.17,0.48,55.81,1.14
U31101PN2006PTC129781,Mecc Alte India Private Limited,NA,NA,2.35,0.05,4.7,0.09,4.14,0.09,4.73,0.1
U31102AP1984PLC005165,Amara Raja Power Systems Limited,NA,NA,NA,NA,4.18,0.62,15.5,0.84,18.73,0.9
U31102DL1966PLC329545,EAST INDIA UDYOG LTD,NA,NA,NA,NA,NA,NA,38.42,0.77,0,0.51
U31102GJ2006PLC049469,Vilas Transcore Limited,4.2,0.09,0,0,0,0,9.5,0.03,12.32,0.02
U31102KL1996PTC010715,Noratel India Power Components Private Limited,4.23,0,5.3633776,0,7.76,0,7.64,0,7.41,0
U31102MH1965PLC013362,KIRLOSKAR PROPRIETARY LIMITED,NA,NA,NA,NA,NA,NA,0,0,5.49,0.11
