CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L14106UP1995PLC019017,Jaiprakash Associates Limited,536.73,13.48,NA,NA,-1515.04,0,-3151.23,0.76,0,2.98
L14109GJ1989PLC012949,SHREEJI INDUSTRIES LIMITED,0,0,NA,NA,0,0.45,0,0,NA,NA
L14200TN2013PLC112346,DALMIA BHARAT LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,31.7,1
L14292TG1973GOI001660,MISHRA DHATU NIGAM LIMITED,NA,NA,NA,NA,NA,NA,163,3.28,182.42,3.94
L14297AP1988PLC074808,YANTRA NATURAL RESOURCES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0
L15110AP1961PLC000874,Ccl Products (India) Limited,81.15,1.62,101.09,2.02,116.24,2.35,0,0,143.54,2.99
L15111UP1992PLC014942,Umang Dairies Limited,NA,NA,6.74,0.14,10.92,0.22,9.51,0.19,6.95,0.19
L15122KA1993PLC048636,Snowman Logistics Limited,0,0.26,NA,NA,NA,NA,NA,NA,NA,NA
L15122MH1993PLC285633,Snowman Logistics Limited,NA,NA,14.86,0.3,0,0,NA,NA,0.2,0
L15122UP2015PLC069632,MAGADH SUGAR & ENERGY LIMITED,NA,NA,NA,NA,NA,NA,34.5,0.69,38.74,0.84
L15122UP2015PLC069635,AVADH SUGAR & ENERGY LIMITED,NA,NA,NA,NA,NA,NA,85.61,1.75,125.59,2.5
L15122WB2007PLC162762,Asian Hotels (East) Limited,29.55,0.6,24.16,0.48,15.64,0,12.76,0.27,12.06,0.25
L15133UR1990PLC023970,Flex Foods Limited,9.19,0.18,11.78,0.2,13.81,0.42,13.21,0.2,12.06,0.03
L15140GJ1985PLC007845,Adi Finechem Limited,17.3,0.35,NA,NA,NA,NA,NA,NA,NA,NA
L15140GJ1991PLC016151,Gujarat Ambuja Exports Limited,126.28,2.53,138.5,2.77,0,0,0,0,0,0.47
L15140MH1933PLC002030,Hindustan Unilever Limited,3990.93,79.82,4597.07,91.94,5085.67,104,5610.09,116.09,6209.71,126.45
L15140MH1985PLC286828,FAIRCHEM SPECIALITY LIMITED,NA,NA,21.09676293,0.002222,22.06,0.28,17.36,0.37,NA,NA
L15140MH1986PLC038536,Ruchi Soya Industries Limited,173.03,3.46,97.03,1.94,NA,NA,NA,NA,NA,NA
L15140MH1988PLC049208,Marico Limited,472.84,11.19,558.72,11.17,657.48,13.21,818.75,15.74,904.14,18.2
L15140UP1989PLC011396,Jvl Agro Industries Limited,59.5,1.19,30.19,0.6,20.53,0.41,0,0,NA,NA
L15141MH1980PLC022912,Olympic Oil Industries Limited,5.98,0.12,9.81,0.2,12.48,0.25,12,0.28,8.27,0.01
L15141UP1940PLC000946,Amrit Corp. Limited,12.31,0.25,11.27,0.23,0,0.23,11.57,0.24,12.99,0.26
L15142GJ1992PLC018745,Gokul Refoils And Solvent Limited,NA,NA,9.9,0,9.65,0.19,8.06,0,-23.9,0.16
L15142GJ2014PLC080010,GOKUL AGRO RESOURCES LIMITED,NA,NA,NA,NA,NA,NA,19.17,0,24.4,0
L15142RJ1987PLC004232,Vijay Solvex Limited,6,0.12,6.8414,0,7.46,0,8.88,0.33,12.38,0.25
L15142TG1986PLC006957,Agro Tech Foods Limited,56.19,1.12,54.43,1.09,46.15,0.92,42.2,0.16,43.43,0.46
L15142TN1986PLC012780,Avt Natural Products Limited,74.68,1.49,64.37,1.29,51.68,1.03,39.18,0.77,27.8,0.63
L15142WB1974PLC029184,Mint Investments Ltd,3.42,0.07,3.42,0.07,2.78,0.06,4.59,0.09,4.06,0.08
L15143MP1991PLC006395,SANWARIA CONSUMER LIMITED,0,0,0,0,21.59,0.05,0,0,NA,NA
L15143PB1983PLC018321,Nahar Industrial Enterprises Limited,20.28,0,8.765,0.1753,0,0.15,36.65,0,55.13,0.27
L15200KA1998PLC023489,HEALTHCARE GLOBAL ENTERPRISES LIMITED,NA,NA,NA,NA,NA,NA,7.24,0.15,22.07,1.27
L15200MH1997PLC107525,VADILAL DAIRY INTERNATIONAL LIMITED,NA,NA,NA,NA,0,0,4.43,0,4.43,0.09
L15201GJ1994PLC023490,Zydus Wellness Limited,89.5,1.79,99.21,1.98,100.27,0,106.95,2.14,0,2.31
L15202DL1959PLC003786,Nestle India Limited,1536.6,8.51,1416.56,31.22,0,0,1367.1,26,NA,NA
L15202UP1992PLC014593,TASTY DAIRY SPECIALITIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,6.36,0.06
L15203PN1938PLC002879,Polson Ltd,6.55,0.13,8.42,0.17,14.74,0.29,11.47,0.24,12.59,0.25
L15203PN1998PLC013068,PRABHAT DAIRY LIMITED,NA,NA,NA,NA,7.73,0.15,0,0,NA,NA
L15204PN1992PLC070209,Parag Milk Foods Limited,11.19,0.09,0,0,39.93,0,38.43,0.81,61.98,0
L15205GJ2013PLC077205,SHEETAL COOL PRODUCTS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08
L15209TG1992PLC014332,Heritage Foods Limited,0,0.7,49.58,0.99,68.96,1.38,81.59,1.63,97.01,1.94
